Date,Price 10g (in INR),GGP (LBMA),USD to INR,Import duty,Inflation Rate (CPI),NIF
25-02-2024,61910.0,2019.3,82.882,15,5.09,22212.69922
26-02-2024,61766.0,2035.15,82.882,15,5.09,22122.05078
27-02-2024,61839.0,2036.0,82.882,15,5.09,22198.34961
28-02-2024,61792.0,2025.25,82.882,15,5.09,21951.15039
29-02-2024,62293.0,2032.8,82.882,15,5.09,21982.80078
01-03-2024,63135.0,2050.3,82.846,15,4.85,22338.75
02-03-2024,63135.0,2050.3,82.846,15,4.85,22338.75
03-03-2024,63135.0,2050.3,82.846,15,4.85,22338.75
04-03-2024,63605.0,2083.15,82.911,15,4.85,22405.59961
05-03-2024,64193.0,2126.25,82.891,15,4.85,22356.30078
06-03-2024,65042.0,2127.35,82.82,15,4.85,22474.05078
07-03-2024,65246.0,2156.85,82.695,15,4.85,22493.55078
08-03-2024,65847.0,2168.65,82.752,15,4.85,22493.55078
09-03-2024,65847.0,2168.65,82.752,15,4.85,22493.55078
10-03-2024,65847.0,2168.65,82.752,15,4.85,22493.55078
11-03-2024,65872.0,2178.45,82.738,15,4.85,22332.65039
12-03-2024,65334.0,2176.4,82.835,15,4.85,22335.69922
13-03-2024,65717.0,2160.85,82.829,15,4.85,21997.69922
14-03-2024,65435.0,2169.8,82.965,15,4.85,22146.65039
15-03-2024,65367.0,2170.35,82.89,15,4.85,22023.34961
16-03-2024,65367.0,2170.35,82.89,15,4.85,22023.34961
17-03-2024,65367.0,2170.35,82.89,15,4.85,22023.34961
18-03-2024,65429.0,2155.3,82.921,15,4.85,22055.69922
19-03-2024,65431.0,2154.3,83.03,15,4.85,21817.44922
20-03-2024,65556.0,2153.4,83.12,15,4.85,21839.09961
21-03-2024,65939.0,2210.65,83.217,15,4.85,22011.94922
22-03-2024,65686.0,2166.25,83.594,15,4.85,22096.75
23-03-2024,65686.0,2166.25,83.594,15,4.85,22096.75
24-03-2024,65686.0,2166.25,83.594,15,4.85,22096.75
25-03-2024,65862.0,2168.35,83.594,15,4.85,22096.75
26-03-2024,66027.0,2193.45,83.594,15,4.85,22004.69922
27-03-2024,66295.0,2192.05,83.594,15,4.85,22123.65039
28-03-2024,67592.0,2207.0,83.594,15,4.85,22326.90039
29-03-2024,67592.0,2207.0,83.594,15,4.85,22326.90039
30-03-2024,67592.0,2207.0,83.594,15,4.85,22326.90039
31-03-2024,67592.0,2207.0,83.594,15,4.85,22326.90039
01-04-2024,68263.0,2207.0,83.413,15,4.83,22462.0
02-04-2024,68802.0,2264.55,83.39,15,4.83,22453.30078
03-04-2024,69725.0,2270.75,83.482,15,4.83,22434.65039
04-04-2024,69612.0,2292.5,83.479,15,4.83,22514.65039
05-04-2024,70701.0,2288.45,83.297,15,4.83,22513.69922
06-04-2024,70701.0,2288.45,83.297,15,4.83,22513.69922
07-04-2024,70701.0,2288.45,83.297,15,4.83,22513.69922
08-04-2024,70607.0,2336.9,83.286,15,4.83,22666.30078
09-04-2024,71130.0,2364.2,83.224,15,4.83,22642.75
10-04-2024,71127.0,2346.85,83.413,15,4.83,22753.80078
11-04-2024,71514.0,2331.75,83.349,15,4.83,22753.80078
12-04-2024,71857.0,2394.8,83.611,15,4.83,22519.40039
13-04-2024,71857.0,2394.8,83.611,15,4.83,22519.40039
14-04-2024,71857.0,2394.8,83.611,15,4.83,22519.40039
15-04-2024,72329.0,2347.15,83.512,15,4.83,22272.5
16-04-2024,73109.0,2369.0,83.667,15,4.83,22147.90039
17-04-2024,72695.0,2393.75,83.587,15,4.83,22147.90039
18-04-2024,73016.0,2379.85,83.545,15,4.83,21995.84961
19-04-2024,73246.0,2381.8,83.37,15,4.83,22147.0
20-04-2024,73246.0,2381.8,83.37,15,4.83,22147.0
21-04-2024,73246.0,2381.8,83.37,15,4.83,22147.0
22-04-2024,71936.0,2361.45,83.4,15,4.83,22336.40039
23-04-2024,71590.0,2298.15,83.284,15,4.83,22368.0
24-04-2024,71692.0,2312.3,83.284,15,4.83,22402.40039
